ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location
2446B008 102513,2446B,008,1022 POPLAR GROVE ST,10/25/2013,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.29972878, -76.66554973)"
2446B009 010314,2446B,009,1020 POPLAR GROVE ST,01/03/2014,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.29969055, -76.66554577)"
2446B010 021011,2446B,010,1018 POPLAR GROVE ST,02/10/2011,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.29965177, -76.66554166)"
2446B016 092410,2446B,016,1006 POPLAR GROVE ST,09/24/2010,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.29942142, -76.66551749)"
2446B017 021811,2446B,017,1004 POPLAR GROVE ST,02/18/2011,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.29938197, -76.66551338)"
2332C002 050598,2332C,002,1403 POPLAR GROVE ST,05/05/1998,NORTHWEST COMMUNITY ACTION,SOUTHWESTERN,9,"(39.30369702, -76.6651297)"
2332C011 122413,2332C,011,1421 POPLAR GROVE ST,12/24/2013,NORTHWEST COMMUNITY ACTION,SOUTHWESTERN,9,"(39.30420264, -76.66516133)"
2332D041 041715,2332D,041,2902 BELMONT AVE,04/17/2015,NORTHWEST COMMUNITY ACTION,SOUTHWESTERN,9,"(39.30374463, -76.66604166)"
2332D045 082408,2332D,045,1405 BLOOMINGDALE ROAD,08/24/2008,NORTHWEST COMMUNITY ACTION,SOUTHWESTERN,9,"(39.30403268, -76.66615798)"
2332D046 112608,2332D,046,1407 BLOOMINGDALE ROAD,11/26/2008,NORTHWEST COMMUNITY ACTION,SOUTHWESTERN,9,"(39.30407377, -76.66616759)"
2332D047 041106,2332D,047,1409 BLOOMINGDALE ROAD,04/11/2006,NORTHWEST COMMUNITY ACTION,SOUTHWESTERN,9,"(39.30411506, -76.66617723)"
2344 002 012916,2344,002,2200 W LAFAYETTE AVE,01/29/2016,BRIDGEVIEW/GREENLAWN,WESTERN,9,"(39.29889247, -76.65257344)"
2344 018 051215,2344,018,929 N BENTALOU ST,05/12/2015,BRIDGEVIEW/GREENLAWN,WESTERN,9,"(39.29937232, -76.65321627)"
2344 019 103015,2344,019,931 N BENTALOU ST,10/30/2015,BRIDGEVIEW/GREENLAWN,WESTERN,9,"(39.29941688, -76.6532188)"
2345 025 102715,2345,025,849 N BENTALOU ST,10/27/2015,MIDTOWN-EDMONDSON,WESTERN,9,"(39.29833341, -76.6531486)"
2345 028 102907,2345,028,2200 W LANVALE ST,10/29/2007,MIDTOWN-EDMONDSON,WESTERN,9,"(39.29725442, -76.6525673)"
2369 001 022513,2369,001,1201 ASHBURTON ST,02/25/2013,WINCHESTER,SOUTHWESTERN,9,"(39.30159677, -76.66154578)"
2369 006 021315,2369,006,1211 ASHBURTON ST,02/13/2015,WINCHESTER,SOUTHWESTERN,9,"(39.30179107, -76.66155813)"
2377A015 021308,2377A,015,2728 HARLEM AVE,02/13/2008,MOSHER,WESTERN,9,"(39.29573645, -76.66229201)"
2377A020 060507,2377A,020,2738 HARLEM AVE,06/05/2007,MOSHER,WESTERN,9,"(39.29572729, -76.66253838)"
2377A021 121410,2377A,021,2740 HARLEM AVE,12/14/2010,MOSHER,WESTERN,9,"(39.29572544, -76.66258773)"
2377A025 102814,2377A,025,2748 HARLEM AVE,10/28/2014,MOSHER,WESTERN,9,"(39.29571804, -76.66278511)"
2377A026 091312,2377A,026,2750 HARLEM AVE,09/13/2012,MOSHER,WESTERN,9,"(39.29571623, -76.66283381)"
2377A044 020615,2377A,044,2828 HARLEM AVE,02/06/2015,MOSHER,WESTERN,9,"(39.29568128, -76.66376422)"
